Title,human_beta,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
Supply Chain Managers,0.466666666666666,Other manufacturing,Activities of head offices; management consultancy activities,Manufacture of machinery and equipment n.e.c.,Activities of head offices; management consultancy activities,2,,Activities of head offices; management consultancy activities
Special Effects Artists and Animators,0.464285714285714,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities",Repair and installation of machinery and equipment,2,,"Creative, arts and entertainment activities"
Cost Estimators,0.464285714285714,Advertising and market research,Advertising and market research,Total - all NACE activities,Information service activities,2,,Advertising and market research
Transit and Railroad Police,0.464285714285714,Land transport and transport via pipelines,Security and investigation activities,Warehousing and support activities for transportation,Security and investigation activities,2,,Security and investigation activities
Solar Energy Systems Engineers,0.461538461538461,Civil engineering,Civil engineering,Manufacture of electrical equipment,Manufacture of electrical equipment,2,,Civil engineering
Transportation Engineers,0.461538461538461,Civil engineering,Air transport,Manufacture of other transport equipment,Civil engineering,2,,Civil engineering
"Mathematical Science Teachers, Postsecondary",0.458333333333333,"Other professional, scientific and technical activities",Education,Education,"Computer programming, consultancy and related activities",2,,Education
Surveyors,0.458333333333333,Civil engineering,Specialised construction activities,Specialised construction activities,Civil engineering,2,,Civil engineering
Remote Sensing Scientists and Technologists,0.458333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,"Other professional, scientific and technical activities"
"Library Assistants, Clerical",0.454545454545454,"Other professional, scientific and technical activities","Office administrative, office support and other business support activities","Libraries, archives, museums and other cultural activities","Office administrative, office support and other business support activities",2,,"Office administrative, office support and other business support activities"
Validation Engineers,0.454545454545454,Civil engineering,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Civil engineering,2,,Civil engineering
Probation Officers and Correctional Treatment Specialists,0.452380952380952,Employment activities,Security and investigation activities,Security and investigation activities,Residential care activities,2,,Security and investigation activities
Financial Managers,0.452380952380952,"Financial service activities, except insurance and pension funding",Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Legal and accounting activities,2,,Activities of head offices; management consultancy activities
Sports Medicine Physicians,0.444444444444444,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,Human health activities,2,,"Other professional, scientific and technical activities"
"Mining and Geological Engineers, Including Mining Safety Engineers",0.444444444444444,Civil engineering,Other mining and quarrying,Other mining and quarrying,Mining support service activities,2,,Other mining and quarrying
First-Line Supervisors of Non-Retail Sales Workers,0.444444444444444,"Retail trade, except of motor vehicles and motorcycles",Activities of households as employers of domestic personnel,Activities of head offices; management consultancy activities,Activities of households as employers of domestic personnel,2,,Activities of households as employers of domestic personnel
"Interviewers, Except Eligibility and Loan",0.441176470588235,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Legal and accounting activities,"Financial service activities, except insurance and pension funding",2,,Activities of households as employers of domestic personnel
Rehabilitation Counselors,0.441176470588235,Social work activities without accommodation,Residential care activities,Other personal service activities,Residential care activities,2,,Residential care activities
Commercial and Industrial Designers,0.441176470588235,Manufacture of wearing apparel,Specialised construction activities,Manufacture of wearing apparel,Manufacture of machinery and equipment n.e.c.,2,,Manufacture of wearing apparel
Social and Community Service Managers,0.4375,Other personal service activities,Other personal service activities,Activities of membership organisations,Activities of membership organisations,2,,Other personal service activities
Biochemists and Biophysicists,0.4375,Manufacture of chemicals and chemical products,"Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,Scientific research and development
Art Directors,0.4375,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities",Employment activities,2,,"Creative, arts and entertainment activities"
"Architecture Teachers, Postsecondary",0.431818181818181,Education,Construction of buildings,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,2,,Architectural and engineering activities; technical testing and analysis
Molecular and Cellular Biologists,0.431818181818181,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,"Other professional, scientific and technical activities"
First-Line Supervisors of Retail Sales Workers,0.428571428571428,Activities of head offices; management consultancy activities,Activities of households as employers of domestic personnel,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",2,,Activities of head offices; management consultancy activities
Energy Auditors,0.428571428571428,Security and investigation activities,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",Manufacture of electrical equipment,2,,"Electricity, gas, steam and air conditioning supply"
"Agents and Business Managers of Artists, Performers, and Athletes",0.428571428571428,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Office administrative, office support and other business support activities",2,,"Creative, arts and entertainment activities"
Dietetic Technicians,0.423076923076923,"Other professional, scientific and technical activities",Food and beverage service activities,Manufacture of food products,Manufacture of food products,2,,Manufacture of food products
File Clerks,0.421052631578947,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",Publishing activities,"Office administrative, office support and other business support activities",2,,"Office administrative, office support and other business support activities"
"Environmental Science Teachers, Postsecondary",0.42,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,"Other professional, scientific and technical activities"
Brownfield Redevelopment Specialists and Site Managers,0.413043478260869,Services to buildings and landscape activities,Services to buildings and landscape activities,Specialised construction activities,"Waste collection, treatment and disposal activities; materials recovery",2,,Services to buildings and landscape activities
"Health Specialties Teachers, Postsecondary",0.413043478260869,Education,Human health activities,Education,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2,,Education
Range Managers,0.411764705882352,Activities of head offices; management consultancy activities,Specialised construction activities,Activities of head offices; management consultancy activities,Information service activities,2,,Activities of head offices; management consultancy activities
Astronomers,0.411764705882352,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,Air transport,2,,Scientific research and development
Healthcare Social Workers,0.411764705882352,Social work activities without accommodation,Residential care activities,Human health activities,Residential care activities,2,,Residential care activities
Treasurers and Controllers,0.409090909090909,Legal and accounting activities,Legal and accounting activities,Activities of head offices; management consultancy activities,Activities of membership organisations,2,,Legal and accounting activities
"Biological Science Teachers, Postsecondary",0.407407407407407,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,"Other professional, scientific and technical activities"
Wind Energy Operations Managers,0.40625,"Electricity, gas, steam and air conditioning supply",Activities of head offices; management consultancy activities,"Electricity, gas, steam and air conditioning supply",Manufacture of electrical equipment,2,,"Electricity, gas, steam and air conditioning supply"
"Anthropology and Archeology Teachers, Postsecondary",0.403846153846153,Education,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities",Education,2,,Education
Occupational Health and Safety Technicians,0.403846153846153,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Employment activities,Human health activities,2,,"Other professional, scientific and technical activities"
Construction Managers,0.4,Construction of buildings,Specialised construction activities,Specialised construction activities,Construction of buildings,2,,Construction of buildings
Mechanical Engineering Technologists and Technicians,0.4,Civil engineering,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,2,,Repair and installation of machinery and equipment
Project Management Specialists,0.4,"Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,Specialised construction activities,Activities of head offices; management consultancy activities,2,,Activities of head offices; management consultancy activities
"Hotel, Motel, and Resort Desk Clerks",0.4,Employment activities,"Office administrative, office support and other business support activities",Accommodation,"Office administrative, office support and other business support activities",2,,"Office administrative, office support and other business support activities"
Tellers,0.396551724137931,Gambling and betting activities,Gambling and betting activities,Education,Legal and accounting activities,2,,Gambling and betting activities
"Physics Teachers, Postsecondary",0.395833333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,Scientific research and development,2,,"Other professional, scientific and technical activities"
Speech-Language Pathologists,0.395833333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,Human health activities,2,,"Other professional, scientific and technical activities"
Models,0.392857142857142,Education,Education,Scientific research and development,Accommodation,2,,Education
Biologists,0.386363636363636,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Veterinary activities,2,,"Other professional, scientific and technical activities"
Family Medicine Physicians,0.384615384615384,Residential care activities,"Other professional, scientific and technical activities",Human health activities,Residential care activities,2,,Residential care activities
"Pediatricians, General",0.38235294117647,Education,"Other professional, scientific and technical activities",Education,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2,,Education
Occupational Therapists,0.38235294117647,Employment activities,"Other professional, scientific and technical activities",Other personal service activities,Employment activities,2,,Employment activities
First-Line Supervisors of Personal Service Workers,0.38235294117647,Other personal service activities,Other personal service activities,Activities of head offices; management consultancy activities,Activities of households as employers of domestic personnel,2,,Other personal service activities
"Meeting, Convention, and Event Planners",0.38095238095238,"Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities",Activities of membership organisations,Activities of membership organisations,2,,"Travel agency, tour operator and other reservation service and related activities"
Geographers,0.375,"Other professional, scientific and technical activities",Civil engineering,Services to buildings and landscape activities,Civil engineering,2,,Civil engineering
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.375,Employment activities,"Office administrative, office support and other business support activities",Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,2,,Activities of households as employers of domestic personnel
Allergists and Immunologists,0.375,Human health activities,Veterinary activities,Human health activities,Scientific research and development,2,,Human health activities
Graphic Designers,0.375,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Creative, arts and entertainment activities",Manufacture of wearing apparel,2,,"Computer programming, consultancy and related activities"
"Arbitrators, Mediators, and Conciliators",0.375,Education,Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies,Legal and accounting activities,2,,Activities of extraterritorial organisations and bodies
"Disc Jockeys, Except Radio",0.368421052631578,Programming and broadcasting activities,Programming and broadcasting activities,Manufacture of other transport equipment,"Wholesale trade, except of motor vehicles and motorcycles",2,,Programming and broadcasting activities
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.368421052631578,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles","Financial service activities, except insurance and pension funding",2,,"Wholesale trade, except of motor vehicles and motorcycles"
"Educational, Guidance, and Career Counselors and Advisors",0.367647058823529,Education,"Other professional, scientific and technical activities",Education,Activities of head offices; management consultancy activities,2,,Education
Industrial Engineering Technologists and Technicians,0.366666666666666,Civil engineering,Manufacture of machinery and equipment n.e.c.,Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,2,,Manufacture of machinery and equipment n.e.c.
Nanotechnology Engineering Technologists and Technicians,0.36,"Other professional, scientific and technical activities","Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products",Scientific research and development,2,,"Manufacture of computer, electronic and optical products"
Occupational Health and Safety Specialists,0.357142857142857,Human health activities,"Other professional, scientific and technical activities",Employment activities,Human health activities,2,,Human health activities
Hospitalists,0.357142857142857,Sewerage,Residential care activities,Human health activities,Residential care activities,2,,Residential care activities
Emergency Medicine Physicians,0.352941176470588,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,Human health activities,2,,"Other professional, scientific and technical activities"
Airfield Operations Specialists,0.351851851851851,Specialised construction activities,Specialised construction activities,Air transport,Air transport,2,,Specialised construction activities
Cashiers,0.344827586206896,Other personal service activities,Food and beverage service activities,Legal and accounting activities,Food and beverage service activities,2,,Food and beverage service activities
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0.342105263157894,Gambling and betting activities,Gambling and betting activities,Activities of head offices; management consultancy activities,"Financial service activities, except insurance and pension funding",2,,Gambling and betting activities
Exercise Physiologists,0.34,"Other professional, scientific and technical activities",Human health activities,Human health activities,Repair and installation of machinery and equipment,2,,Human health activities
"Career/Technical Education Teachers, Middle School",0.338709677419354,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,Education,2,,"Other professional, scientific and technical activities"
"Career/Technical Education Teachers, Secondary School",0.333333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,Education,2,,"Other professional, scientific and technical activities"
Physical Therapists,0.333333333333333,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,Human health activities,2,,"Other professional, scientific and technical activities"
Cytogenetic Technologists,0.333333333333333,Telecommunications,Scientific research and development,Scientific research and development,"Manufacture of computer, electronic and optical products",2,,Scientific research and development
Retail Loss Prevention Specialists,0.333333333333333,Wholesale and retail trade and repair of motor vehicles and motorcycles,Wholesale and retail trade and repair of motor vehicles and motorcycles,Remediation activities and other waste management services,Rental and leasing activities,2,,Wholesale and retail trade and repair of motor vehicles and motorcycles
Talent Directors,0.333333333333333,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities",Employment activities,2,,"Creative, arts and entertainment activities"
Dermatologists,0.333333333333333,"Other professional, scientific and technical activities",Veterinary activities,"Other professional, scientific and technical activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,2,,"Other professional, scientific and technical activities"
Chiropractors,0.318181818181818,Human health activities,Veterinary activities,Veterinary activities,Manufacture of machinery and equipment n.e.c.,2,,Veterinary activities
Nuclear Monitoring Technicians,0.31578947368421,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Security and investigation activities,Manufacture of coke and refined petroleum products,2,,"Other professional, scientific and technical activities"
Parts Salespersons,0.31578947368421,Wholesale and retail trade and repair of motor vehicles and motorcycles,Wholesale and retail trade and repair of motor vehicles and motorcycles,Other manufacturing,Repair and installation of machinery and equipment,2,,Wholesale and retail trade and repair of motor vehicles and motorcycles
Hydroelectric Production Managers,0.31578947368421,"Water collection, treatment and supply","Water collection, treatment and supply",Manufacture of electrical equipment,Employment activities,2,,"Water collection, treatment and supply"
First-Line Supervisors of Passenger Attendants,0.31578947368421,"Travel agency, tour operator and other reservation service and related activities",Other personal service activities,"Travel agency, tour operator and other reservation service and related activities",Activities of head offices; management consultancy activities,2,,"Travel agency, tour operator and other reservation service and related activities"
"Preschool Teachers, Except Special Education",0.308823529411764,Education,Other personal service activities,Education,"Insurance, reinsurance and pension funding, except compulsory social security",2,,Education
Computer Hardware Engineers,0.305555555555555,Civil engineering,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products","Computer programming, consultancy and related activities",2,,"Manufacture of computer, electronic and optical products"
Mechatronics Engineers,0.304347826086956,Civil engineering,Manufacture of electrical equipment,Manufacture of electrical equipment,"Manufacture of computer, electronic and optical products",2,,Manufacture of electrical equipment
"Elementary School Teachers, Except Special Education",0.302631578947368,Education,"Other professional, scientific and technical activities",Education,"Insurance, reinsurance and pension funding, except compulsory social security",2,,Education
Medical Dosimetrists,0.3,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Veterinary activities,Human health activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2,,Manufacture of basic pharmaceutical products and pharmaceutical preparations
Art Therapists,0.3,"Creative, arts and entertainment activities","Other professional, scientific and technical activities","Creative, arts and entertainment activities",Employment activities,2,,"Creative, arts and entertainment activities"
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.295454545454545,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.,2,,Repair and installation of machinery and equipment
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.295454545454545,Manufacture of other transport equipment,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.,2,,Manufacture of machinery and equipment n.e.c.
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.295454545454545,Printing and reproduction of recorded media,Printing and reproduction of recorded media,Total - all NACE activities,Legal and accounting activities,2,,Printing and reproduction of recorded media
Biofuels/Biodiesel Technology and Product Development Managers,0.289473684210526,Manufacture of coke and refined petroleum products,Manufacture of coke and refined petroleum products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,2,,Manufacture of coke and refined petroleum products
Transportation Inspectors,0.285714285714285,Warehousing and support activities for transportation,Air transport,Manufacture of other transport equipment,Warehousing and support activities for transportation,2,,Warehousing and support activities for transportation
Sound Engineering Technicians,0.285714285714285,"Other professional, scientific and technical activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Repair and installation of machinery and equipment,2,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",0.283333333333333,Education,"Office administrative, office support and other business support activities",Education,"Insurance, reinsurance and pension funding, except compulsory social security",2,,Education
"Child, Family, and School Social Workers",0.282608695652173,Social work activities without accommodation,Social work activities without accommodation,Activities of households as employers of domestic personnel,Residential care activities,2,,Social work activities without accommodation
Parking Enforcement Workers,0.282608695652173,Employment activities,Employment activities,Civil engineering,Warehousing and support activities for transportation,2,,Employment activities
Floral Designers,0.28125,Manufacture of textiles,Manufacture of textiles,"Creative, arts and entertainment activities",Services to buildings and landscape activities,2,,Manufacture of textiles
Podiatrists,0.272727272727272,Sewerage,Veterinary activities,Veterinary activities,Specialised construction activities,2,,Veterinary activities
Funeral Attendants,0.269230769230769,Other personal service activities,Other personal service activities,Accommodation,"Waste collection, treatment and disposal activities; materials recovery",2,,Other personal service activities
First-Line Supervisors of Food Preparation and Serving Workers,0.269230769230769,Food and beverage service activities,Food and beverage service activities,Manufacture of food products,Manufacture of food products,2,,Food and beverage service activities
Calibration Technologists and Technicians,0.266666666666666,"Other professional, scientific and technical activities",Repair and installation of machinery and equipment,"Other professional, scientific and technical activities",Repair and installation of machinery and equipment,2,,"Other professional, scientific and technical activities"
Solar Energy Installation Managers,0.266666666666666,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",Manufacture of electrical equipment,Manufacture of electrical equipment,2,,"Electricity, gas, steam and air conditioning supply"
Midwives,0.263888888888888,Activities of households as employers of domestic personnel,Other personal service activities,Activities of households as employers of domestic personnel,Human health activities,2,,Activities of households as employers of domestic personnel
Biomass Power Plant Managers,0.263157894736842,Forestry and logging,Mining of coal and lignite,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",2,,"Electricity, gas, steam and air conditioning supply"
Chefs and Head Cooks,0.261904761904761,Activities of head offices; management consultancy activities,Food and beverage service activities,Manufacture of food products,Manufacture of food products,2,,Manufacture of food products
Recreation Workers,0.25,Sports activities and amusement and recreation activities,Employment activities,Sports activities and amusement and recreation activities,Employment activities,2,,Sports activities and amusement and recreation activities
"Teaching Assistants, Special Education",0.25,"Other professional, scientific and technical activities","Office administrative, office support and other business support activities",Education,Education,2,,Education
Urologists,0.25,Sewerage,Sewerage,Scientific research and development,Human health activities,2,,Sewerage
Biological Technicians,0.25,"Other professional, scientific and technical activities",Veterinary activities,"Other professional, scientific and technical activities",Scientific research and development,2,,"Other professional, scientific and technical activities"
"Buyers and Purchasing Agents, Farm Products",0.25,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities",2,,"Wholesale trade, except of motor vehicles and motorcycles"
Electro-Mechanical and Mechatronics Technologists and Technicians,0.241379310344827,Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,Manufacture of electrical equipment,"Manufacture of computer, electronic and optical products",2,,Manufacture of electrical equipment
"Ushers, Lobby Attendants, and Ticket Takers",0.239130434782608,"Travel agency, tour operator and other reservation service and related activities","Office administrative, office support and other business support activities","Travel agency, tour operator and other reservation service and related activities","Office administrative, office support and other business support activities",2,,"Travel agency, tour operator and other reservation service and related activities"
"Opticians, Dispensing",0.238095238095238,Telecommunications,Manufacture of basic pharmaceutical products and pharmaceutical preparations,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products",2,,"Manufacture of computer, electronic and optical products"
Power Distributors and Dispatchers,0.233333333333333,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",Postal and courier activities,Manufacture of electrical equipment,2,,"Electricity, gas, steam and air conditioning supply"
Cardiologists,0.23076923076923,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,"Manufacture of computer, electronic and optical products",2,,"Other professional, scientific and technical activities"
Geothermal Technicians,0.229166666666666,Civil engineering,Civil engineering,Specialised construction activities,Mining support service activities,2,,Civil engineering
Cargo and Freight Agents,0.229166666666666,Warehousing and support activities for transportation,Postal and courier activities,Manufacture of other transport equipment,Postal and courier activities,2,,Postal and courier activities
Exercise Trainers and Group Fitness Instructors,0.227272727272727,Activities of membership organisations,Human health activities,Activities of membership organisations,Sports activities and amusement and recreation activities,2,,Activities of membership organisations
First-Line Supervisors of Production and Operating Workers,0.225,Employment activities,Activities of households as employers of domestic personnel,Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.,2,,Manufacture of machinery and equipment n.e.c.
Pediatric Surgeons,0.222222222222222,Education,Veterinary activities,Education,Human health activities,2,,Education
Robotics Technicians,0.217391304347826,"Other professional, scientific and technical activities",Repair and installation of machinery and equipment,Manufacture of electrical equipment,Repair and installation of machinery and equipment,2,,Repair and installation of machinery and equipment
Magnetic Resonance Imaging Technologists,0.217391304347826,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,"Manufacture of computer, electronic and optical products",2,,"Other professional, scientific and technical activities"
"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.2125,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Telecommunications,"Manufacture of fabricated metal products, except machinery and equipment",2,,Repair and installation of machinery and equipment
Emergency Medical Technicians,0.208333333333333,Civil engineering,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,2,,"Other professional, scientific and technical activities"
Pharmacy Aides,0.205882352941176,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2,,"Office administrative, office support and other business support activities"
"Captains, Mates, and Pilots of Water Vessels",0.2,Water transport,Air transport,Fishing and aquaculture,Fishing and aquaculture,2,,Fishing and aquaculture
Orthotists and Prosthetists,0.2,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,Repair and installation of machinery and equipment,2,,"Other professional, scientific and technical activities"
School Bus Monitors,0.194444444444444,Warehousing and support activities for transportation,Telecommunications,Education,Warehousing and support activities for transportation,2,,Warehousing and support activities for transportation
Choreographers,0.194444444444444,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities",Employment activities,2,,"Creative, arts and entertainment activities"
Forensic Science Technicians,0.19047619047619,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Security and investigation activities,Security and investigation activities,2,,"Other professional, scientific and technical activities"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.1875,Extraction of crude petroleum and natural gas,Extraction of crude petroleum and natural gas,Manufacture of coke and refined petroleum products,Manufacture of coke and refined petroleum products,2,,Extraction of crude petroleum and natural gas
"Inspectors, Testers, Sorters, Samplers, and Weighers",0.1875,Manufacture of machinery and equipment n.e.c.,Specialised construction activities,Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,2,,Manufacture of machinery and equipment n.e.c.
Fabric and Apparel Patternmakers,0.1875,Manufacture of wearing apparel,Manufacture of textiles,Manufacture of textiles,Manufacture of wearing apparel,2,,Manufacture of wearing apparel
"Coin, Vending, and Amusement Machine Servicers and Repairers",0.184210526315789,Repair of computers and personal and household goods,Wholesale and retail trade and repair of motor vehicles and motorcycles,Wholesale and retail trade and repair of motor vehicles and motorcycles,Manufacture of machinery and equipment n.e.c.,2,,Wholesale and retail trade and repair of motor vehicles and motorcycles
Actors,0.184210526315789,"Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities",2,,"Creative, arts and entertainment activities"
Respiratory Therapists,0.181818181818181,Air transport,"Other professional, scientific and technical activities",Human health activities,Human health activities,2,,Human health activities
Speech-Language Pathology Assistants,0.181818181818181,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Human health activities,2,,"Other professional, scientific and technical activities"
Farm Equipment Mechanics and Service Technicians,0.178571428571428,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,"Crop and animal production, hunting and related service activities",2,,Repair and installation of machinery and equipment
"Bus Drivers, School",0.176470588235294,Education,Employment activities,Warehousing and support activities for transportation,Warehousing and support activities for transportation,2,,Warehousing and support activities for transportation
Shuttle Drivers and Chauffeurs,0.173076923076923,Manufacture of other transport equipment,Air transport,Air transport,"Travel agency, tour operator and other reservation service and related activities",2,,Air transport
"Office Machine Operators, Except Computer",0.166666666666666,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities","Computer programming, consultancy and related activities","Manufacture of fabricated metal products, except machinery and equipment",2,,"Office administrative, office support and other business support activities"
Watch and Clock Repairers,0.166666666666666,Repair of computers and personal and household goods,Repair of computers and personal and household goods,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,2,,Repair of computers and personal and household goods
Bailiffs,0.166666666666666,Security and investigation activities,Sewerage,Security and investigation activities,Activities of membership organisations,2,,Security and investigation activities
"Bus Drivers, Transit and Intercity",0.166666666666666,"Travel agency, tour operator and other reservation service and related activities",Air transport,Warehousing and support activities for transportation,Warehousing and support activities for transportation,2,,Warehousing and support activities for transportation
Coaches and Scouts,0.160714285714285,Education,Advertising and market research,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities,2,,Sports activities and amusement and recreation activities
Industrial Machinery Mechanics,0.15625,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,Manufacture of machinery and equipment n.e.c.,2,,Repair and installation of machinery and equipment
Cytotechnologists,0.153846153846153,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2,,"Other professional, scientific and technical activities"
Avionics Technicians,0.153846153846153,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Air transport,Air transport,2,,Air transport
"Cooks, Restaurant",0.15,Food and beverage service activities,Food and beverage service activities,Manufacture of food products,Manufacture of food products,2,,Food and beverage service activities
Bartenders,0.15,Food and beverage service activities,Food and beverage service activities,Manufacture of beverages,Manufacture of beverages,2,,Food and beverage service activities
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.15,"Crop and animal production, hunting and related service activities",Forestry and logging,"Crop and animal production, hunting and related service activities",Forestry and logging,2,,"Crop and animal production, hunting and related service activities"
Psychiatric Aides,0.147058823529411,Social work activities without accommodation,Residential care activities,Human health activities,Residential care activities,2,,Residential care activities
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.142857142857142,"Manufacture of fabricated metal products, except machinery and equipment",Repair and installation of machinery and equipment,"Manufacture of fabricated metal products, except machinery and equipment",Repair and installation of machinery and equipment,2,,"Manufacture of fabricated metal products, except machinery and equipment"
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0.142857142857142,Manufacture of other transport equipment,"Other professional, scientific and technical activities",Manufacture of other transport equipment,"Financial service activities, except insurance and pension funding",2,,Manufacture of other transport equipment
Bakers,0.138888888888888,Other manufacturing,Food and beverage service activities,Manufacture of food products,Manufacture of food products,2,,Manufacture of food products
