task_name,pct,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
"develop approaches to the solution of groups' problems, based on research findings in sociology and related disciplines.",0.0542012481922059,Scientific research and development,Activities of membership organisations,Activities of membership organisations,Advertising and market research,2.0,,Activities of membership organisations
"develop briefings, brochures, multimedia presentations, web pages, promotional products, technical illustrations, and computer artwork for use in products, technical manuals, literature, newsletters, and slide shows.",0.156870920248596,"Other professional, scientific and technical activities",Information service activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
"develop business methods and procedures, including accounting systems, file systems, office systems, logistics systems, and production schedules.",0.01315943766205,Legal and accounting activities,"Office administrative, office support and other business support activities",Legal and accounting activities,"Office administrative, office support and other business support activities",2.0,,Legal and accounting activities
"develop client relationships and communicate with clients to explain proposals, present research findings, establish specifications, or discuss project status.",0.011856523042045,"Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,"Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,2.0,,"Computer programming, consultancy and related activities"
"develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",0.0314002423421193,"Other professional, scientific and technical activities",Advertising and market research,Advertising and market research,Services to buildings and landscape activities,2.0,,Advertising and market research
"develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",0.0028664121640108,"Computer programming, consultancy and related activities",Information service activities,Information service activities,"Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
"develop conceptual, logical, or physical network designs.",0.0109444828080415,"Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Information service activities,2.0,,Architectural and engineering activities; technical testing and analysis
"develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.",0.0058631157900222,Activities of membership organisations,Activities of head offices; management consultancy activities,Activities of membership organisations,"Office administrative, office support and other business support activities",2.0,,Activities of membership organisations
develop criteria for the design and modification of survey instruments.,0.0084689450300321,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
"develop curricula, and recommend curricula revisions and additions.",0.0046904926320178,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,Architectural and engineering activities; technical testing and analysis,2.0,,"Other professional, scientific and technical activities"
"develop curriculum and prepare manuals, visual aids, course outlines, and other materials used in teaching.",0.0327031569621242,"Other professional, scientific and technical activities","Office administrative, office support and other business support activities",Education,Education,2.0,,Education
"develop customer documentation, such as performance specifications, training manuals, or operating instructions.",0.0054722414040207,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,2.0,,"Computer programming, consultancy and related activities"
"develop data model describing data elements and how they are used, following procedures and using pen, template or computer software.",0.0316608252661203,Scientific research and development,Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
develop data models and databases.,0.0349181118161326,Scientific research and development,"Computer programming, consultancy and related activities",Scientific research and development,Information service activities,2.0,,Scientific research and development
"develop data warehouse process models, including sourcing, loading, transformation, and extraction.",0.0063842816380242,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Mining support service activities,"Office administrative, office support and other business support activities",2.0,,Warehousing and support activities for transportation
develop disaster recovery plans.,0.0022149548540084,Remediation activities and other waste management services,Remediation activities and other waste management services,Specialised construction activities,"Waste collection, treatment and disposal activities; materials recovery",2.0,,Remediation activities and other waste management services
"develop environmental management or restoration plans for sites with power transmission lines, natural gas pipelines, fuel refineries, geothermal plants, wind farms, or solar farms.",0.0027361207020103,Remediation activities and other waste management services,Remediation activities and other waste management services,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",2.0,,Remediation activities and other waste management services
"develop exercise programs to improve participant strength, flexibility, endurance, or circulatory functioning, in accordance with exercise science standards, regulatory requirements, and credentialing requirements.",0.0254068350900965,Human health activities,Human health activities,Sports activities and amusement and recreation activities,Sports activities and amusement and recreation activities,2.0,,Human health activities
"develop formal documentation for microelectromechanical systems (mems) devices, including quality assurance guidance, quality control protocols, process control checklists, data collection, or reporting.",0.0104233169600396,"Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,"Manufacture of computer, electronic and optical products",Architectural and engineering activities; technical testing and analysis,2.0,,"Manufacture of computer, electronic and optical products"
develop guidelines for procedures such as the management of viruses.,0.0023452463160089,Security and investigation activities,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Security and investigation activities,2.0,,Security and investigation activities
develop in-service educational materials.,0.0066448645620252,Information service activities,Information service activities,Education,Education,2.0,,Information service activities
"develop individualized treatment plans for patients, considering patient preferences, clinical data, or the risks and benefits of therapies.",0.0263188753241,Scientific research and development,"Other professional, scientific and technical activities",Human health activities,Human health activities,2.0,,Human health activities
develop instruction or training roadmaps for online and blended learning programs.,0.0076871962580292,"Computer programming, consultancy and related activities",Education,Education,"Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
develop instructional materials and products for technology-based redesign of courses.,0.0195437193000742,"Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
develop instructional materials for the public and make presentations to citizens' groups to provide information on emergency plans and their implementation processes.,0.0024755377780094,Residential care activities,Information service activities,Information service activities,Warehousing and support activities for transportation,2.0,,Information service activities
develop instrumentation and software for astronomical observation and analysis.,0.0112050657320425,Architectural and engineering activities; technical testing and analysis,"Manufacture of computer, electronic and optical products",Scientific research and development,Scientific research and development,2.0,,Scientific research and development
"develop manuals, texts, workbooks, or related materials for use in conjunction with production materials or for training.",0.0169378900600643,"Other professional, scientific and technical activities",Specialised construction activities,"Other professional, scientific and technical activities",Repair and installation of machinery and equipment,2.0,,"Other professional, scientific and technical activities"
develop marketing or strategic plans for sales territories.,0.0045602011700173,"Wholesale trade, except of motor vehicles and motorcycles",Activities of head offices; management consultancy activities,Advertising and market research,Advertising and market research,2.0,,Advertising and market research
"develop marketing plans for finished products, collaborating with sales associates to supervise product distribution.",0.0024755377780094,Advertising and market research,"Office administrative, office support and other business support activities",Advertising and market research,Activities of head offices; management consultancy activities,2.0,,Advertising and market research
"develop master course documentation or manuals according to applicable accreditation, certification, or other requirements.",0.0226707143880861,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,Activities of head offices; management consultancy activities,2.0,,"Other professional, scientific and technical activities"
develop methodologies for transferring procedures or biological processes from laboratories to commercial-scale manufacturing production.,0.0035178694740133,Manufacture of chemicals and chemical products,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of chemicals and chemical products,2.0,,Manufacture of chemicals and chemical products
"develop methods to improve employment policies, processes, and practices, and recommend changes to management.",0.0083386535680316,Activities of head offices; management consultancy activities,Employment activities,Employment activities,Activities of head offices; management consultancy activities,2.0,,Activities of head offices; management consultancy activities
develop new software applications or customize existing applications to meet specific scientific project needs.,0.0574585347422183,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Scientific research and development,Scientific research and development,2.0,,Scientific research and development
develop or apply data mining and machine learning algorithms.,0.628004846842386,Scientific research and development,Mining support service activities,Mining support service activities,"Computer programming, consultancy and related activities",2.0,,Mining support service activities
"develop or approve project plans, schedules, or budgets.",0.0029967036260113,"Computer programming, consultancy and related activities",Specialised construction activities,Specialised construction activities,Advertising and market research,2.0,,Specialised construction activities
develop or direct study courses or religious education programs within congregations.,0.0037784523980143,Education,Other personal service activities,Education,"Travel agency, tour operator and other reservation service and related activities",2.0,,Education
"develop or document reverse logistics management processes to ensure maximal efficiency of product recycling, reuse, or final disposal.",0.0032572865500123,Remediation activities and other waste management services,Warehousing and support activities for transportation,Remediation activities and other waste management services,"Waste collection, treatment and disposal activities; materials recovery",2.0,,Remediation activities and other waste management services
develop or implement data analysis algorithms.,0.0022149548540084,Scientific research and development,"Computer programming, consultancy and related activities",Information service activities,Information service activities,2.0,,Information service activities
develop or implement operating methods or procedures.,0.0023452463160089,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities",Information service activities,2.0,,"Other professional, scientific and technical activities"
develop or implement plans and procedures for ophthalmologic services.,0.0035178694740133,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities auxiliary to financial services and insurance activities,Human health activities,2.0,,Activities of head offices; management consultancy activities
"develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.",0.0667092285442535,Security and investigation activities,Security and investigation activities,Human health activities,Human health activities,2.0,,Security and investigation activities
develop or implement procedures for ongoing web site revision.,0.0423447251501609,Publishing activities,Information service activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
develop or implement risk-assessment models or methodologies.,0.0459928860861747,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,Security and investigation activities,2.0,,Scientific research and development
"develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",0.0040390353220153,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,"Computer programming, consultancy and related activities",2.0,,Scientific research and development
"develop or maintain archived procedures, procedural codes, or queries for applications.",0.0037784523980143,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities","Computer programming, consultancy and related activities",Information service activities,2.0,,"Computer programming, consultancy and related activities"
develop or maintain internal or external company web sites.,0.024755377780094,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",2.0,,"Computer programming, consultancy and related activities"
develop or maintain online help documentation.,0.0065145731000247,"Office administrative, office support and other business support activities",Information service activities,Information service activities,"Computer programming, consultancy and related activities",2.0,,Information service activities
develop or maintain payment systems to ensure accuracy of vendor payments.,0.0549829969642089,Warehousing and support activities for transportation,"Office administrative, office support and other business support activities",Activities auxiliary to financial services and insurance activities,Warehousing and support activities for transportation,2.0,,Warehousing and support activities for transportation
develop or maintain programs associated with automated production equipment.,0.0052116584800198,Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,2.0,,Manufacture of machinery and equipment n.e.c.
develop or maintain project reporting systems.,0.0044299097080168,Publishing activities,"Computer programming, consultancy and related activities",Information service activities,Information service activities,2.0,,Information service activities
"develop or maintain standards, such as organization, structure, or nomenclature, for the design of data warehouse elements, such as data architectures, models, tools, and databases.",0.0091204023400346,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Manufacture of machinery and equipment n.e.c.,"Computer programming, consultancy and related activities",2.0,,Warehousing and support activities for transportation
"develop or revise business plans for online business, emphasizing factors such as product line, pricing, inventory, or marketing strategy.",0.0112050657320425,Information service activities,Information service activities,Advertising and market research,"Office administrative, office support and other business support activities",2.0,,Information service activities
develop or test new methods or models of transportation analysis.,0.0040390353220153,Warehousing and support activities for transportation,Land transport and transport via pipelines,Warehousing and support activities for transportation,Architectural and engineering activities; technical testing and analysis,2.0,,Warehousing and support activities for transportation
"develop or update procedures, policies, or standards.",0.0069054474860262,"Other professional, scientific and technical activities","Office administrative, office support and other business support activities","Other professional, scientific and technical activities",Information service activities,2.0,,"Other professional, scientific and technical activities"
"develop partnerships with businesses, communities, and other organizations to help meet identified educational needs and to provide school-to-work programs.",0.0130291462000495,Education,Employment activities,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",2.0,,"Office administrative, office support and other business support activities"
"develop plans and estimate costs for installation of systems, utilization of facilities, or construction of structures.",0.0039087438600148,Construction of buildings,Architectural and engineering activities; technical testing and analysis,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
"develop plans or materials to communicate activities undertaken by organizations that are beneficial to the environment, public safety, or other important social issues.",0.0046904926320178,Information service activities,Information service activities,Services to buildings and landscape activities,Services to buildings and landscape activities,2.0,,Information service activities
"develop problem intervention procedures, using techniques such as interviews, consultations, role playing, and participant observation of group interactions.",0.0330940313481257,Activities of membership organisations,Human health activities,Activities of membership organisations,Activities of head offices; management consultancy activities,2.0,,Activities of membership organisations
develop program plans for individuals or assist in plan development.,0.0170681815220648,"Computer programming, consultancy and related activities",Residential care activities,"Computer programming, consultancy and related activities",Activities of membership organisations,2.0,,"Computer programming, consultancy and related activities"
develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information.,0.121040768198459,Security and investigation activities,"Computer programming, consultancy and related activities",Security and investigation activities,"Computer programming, consultancy and related activities",2.0,,Security and investigation activities
"develop sustainability project goals, objectives, initiatives, or strategies in collaboration with other sustainability professionals.",0.0044299097080168,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Services to buildings and landscape activities,Services to buildings and landscape activities,2.0,,"Other professional, scientific and technical activities"
develop system interaction or sequence diagrams.,0.0196740107620747,"Computer programming, consultancy and related activities",Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities",Information service activities,2.0,,"Computer programming, consultancy and related activities"
"develop teaching aids such as instructional software, multimedia visual aids, or study materials.",0.0267097497101014,Education,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
"develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course web sites.",0.12130135112246,"Other professional, scientific and technical activities",Education,Education,"Computer programming, consultancy and related activities",2.0,,Education
"develop teaching or training materials, such as handouts, study materials, or quizzes.",0.124298054748472,"Other professional, scientific and technical activities",Education,"Other professional, scientific and technical activities",Education,2.0,,"Other professional, scientific and technical activities"
develop technical specifications for data management programming and communicate needs to information technology staff.,0.0020846633920079,"Computer programming, consultancy and related activities",Information service activities,Information service activities,"Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
"develop tests, questionnaires, and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met.",0.0153743925160584,"Computer programming, consultancy and related activities",Education,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
"develop therapeutic and treatment plans based on clients' interests, abilities, and needs.",0.0024755377780094,"Computer programming, consultancy and related activities",Residential care activities,Human health activities,Human health activities,2.0,,Human health activities
develop three-dimensional simulations of automation systems.,0.0033875780120128,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities","Manufacture of computer, electronic and optical products",2.0,,Architectural and engineering activities; technical testing and analysis
"develop training materials and procedures, or train users in the proper use of hardware or software.",0.0036481609360138,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Other professional, scientific and technical activities"
"develop treatment plan to meet needs of patient, based on needs assessment, patient interests and objectives of therapy.",0.0087295279540331,Scientific research and development,Residential care activities,Human health activities,Human health activities,2.0,,Human health activities
"develop treatment plans based on scientific rationale, standards of care, and professional practice guidelines.",0.026058292400099,Scientific research and development,Residential care activities,Human health activities,Scientific research and development,2.0,,Scientific research and development
"develop web site maps, application models, image templates, or page templates that meet project goals, user needs, or industry standards.",0.0703573894802673,"Computer programming, consultancy and related activities",Architectural and engineering activities; technical testing and analysis,Services to buildings and landscape activities,Services to buildings and landscape activities,2.0,,Services to buildings and landscape activities
"develop work plans, including writing specifications or establishing material, manpower, or facilities needs.",0.0032572865500123,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,2.0,,Specialised construction activities
"develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",0.20807546481479,Legal and accounting activities,Legal and accounting activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,Legal and accounting activities
"develop, implement, or manage plans or programs related to conservation or management of natural resources.",0.0035178694740133,Forestry and logging,"Crop and animal production, hunting and related service activities",Services to buildings and landscape activities,Services to buildings and landscape activities,2.0,,Services to buildings and landscape activities
"develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, web pages, electronic pathfinders, software programs, and online tutorials.",0.024234211932092,"Computer programming, consultancy and related activities",Information service activities,Information service activities,"Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
"develop, standardize, evaluate, or modify procedures, techniques, or tests used in the analysis of specimens or in medical laboratory experiments.",0.0162864327500618,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,2.0,,"Other professional, scientific and technical activities"
"develop, test, or program new robots.",0.0059934072520227,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,"Computer programming, consultancy and related activities",2.0,,Scientific research and development
"devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data.",0.0171984729840653,Security and investigation activities,Advertising and market research,"Water collection, treatment and supply",Advertising and market research,2.0,,Advertising and market research
devise testing methods to evaluate the effects of various conditions on particular materials.,0.0061236987140232,Manufacture of other non-metallic mineral products,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Manufacture of chemicals and chemical products,2.0,,Architectural and engineering activities; technical testing and analysis
"devise trading, option, or hedge strategies.",0.0360907349741371,Gambling and betting activities,Activities auxiliary to financial services and insurance activities,Gambling and betting activities,Advertising and market research,2.0,,Gambling and betting activities
"diagnose diseases or study medical conditions using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, and molecular biology.",0.0185013876040703,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.0,,"Other professional, scientific and technical activities"
"diagnose or treat injuries, disorders, or diseases of the eye and eye structures including the cornea, sclera, conjunctiva, or eyelids.",0.0020846633920079,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Human health activities,Human health activities,2.0,,"Other professional, scientific and technical activities"
diagnose performance problems by reviewing performance reports or documentation from customers or field engineers or inspecting malfunctioning or damaged products.,0.0036481609360138,Mining support service activities,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Repair and installation of machinery and equipment,2.0,,Architectural and engineering activities; technical testing and analysis
"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",1.55841617698792,Repair of computers and personal and household goods,Repair of computers and personal and household goods,Repair and installation of machinery and equipment,"Computer programming, consultancy and related activities",2.0,,Repair of computers and personal and household goods
"direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or performing specific services.",0.0022149548540084,Employment activities,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",2.0,,"Office administrative, office support and other business support activities"
"direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses.",0.0031269950880118,Rental and leasing activities,Rental and leasing activities,Activities auxiliary to financial services and insurance activities,Legal and accounting activities,2.0,,Rental and leasing activities
direct or conduct studies or research on issues affecting areas of responsibility.,0.0049510755560188,Scientific research and development,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,2.0,,Scientific research and development
"direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.0140714778960534,"Financial service activities, except insurance and pension funding","Office administrative, office support and other business support activities",Activities auxiliary to financial services and insurance activities,"Office administrative, office support and other business support activities",2.0,,"Office administrative, office support and other business support activities"
"direct or train workers to install, maintain, or repair electrical wiring, equipment, or fixtures.",0.0029967036260113,Specialised construction activities,Manufacture of electrical equipment,Manufacture of electrical equipment,Repair and installation of machinery and equipment,2.0,,Manufacture of electrical equipment
"direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0.0052116584800198,Employment activities,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",2.0,,"Office administrative, office support and other business support activities"
disclose merchant information and terms and policies of transactions in online or offline materials.,0.0019543719300074,"Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles",Legal and accounting activities,"Office administrative, office support and other business support activities",2.0,,"Wholesale trade, except of motor vehicles and motorcycles"
discuss illnesses and treatments with patients and family members.,0.0173287644460658,Human health activities,Residential care activities,Human health activities,"Office administrative, office support and other business support activities",2.0,,Human health activities
discuss job performance problems with employees to identify causes and issues and to work on resolving problems.,0.0046904926320178,Employment activities,Activities of head offices; management consultancy activities,Employment activities,Activities of head offices; management consultancy activities,2.0,,Employment activities
"discuss with surgeon the nature of the surgical procedure, including operative consent, methods of operative exposure, diagnostic or laboratory data, or patient-advanced directives or other needs.",0.0027361207020103,"Other professional, scientific and technical activities",Veterinary activities,"Other professional, scientific and technical activities",Repair and installation of machinery and equipment,2.0,,"Other professional, scientific and technical activities"
"display commercial, industrial, agricultural, and residential properties to clients and explain their features.",0.0104233169600396,Real estate activities,Real estate activities,Services to buildings and landscape activities,"Office administrative, office support and other business support activities",2.0,,Real estate activities
"disseminate information about nursing informatics science and practice to the profession, other health care professions, nursing students, and the public.",0.0027361207020103,"Other professional, scientific and technical activities",Information service activities,Information service activities,"Computer programming, consultancy and related activities",2.0,,Information service activities
"distinguish between homonyms and recognize inconsistencies and mistakes in medical terms, referring to dictionaries, drug references, and other sources on anatomy, physiology, and medicine.",0.0071660304100272,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.0,,"Other professional, scientific and technical activities"
"distribute or regulate the flow of power between entities, such as generating stations, substations, distribution lines, or users, keeping track of the status of circuits or connections.",0.0075569047960287,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",Telecommunications,Manufacture of electrical equipment,2.0,,"Electricity, gas, steam and air conditioning supply"
"document account activities, generate reports, and keep records of business transactions with customers and suppliers.",0.0104233169600396,Legal and accounting activities,"Office administrative, office support and other business support activities",Legal and accounting activities,"Office administrative, office support and other business support activities",2.0,,Legal and accounting activities
"document and communicate database schemas, using accepted notations.",0.129770296152493,Publishing activities,Architectural and engineering activities; technical testing and analysis,Information service activities,Information service activities,2.0,,Information service activities
"document data related to patients' care including assessment results, interventions, medications, patient responses, or treatment changes.",0.0082083621060311,Residential care activities,Residential care activities,Human health activities,Human health activities,2.0,,Residential care activities
"document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",0.164036950658623,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,Architectural and engineering activities; technical testing and analysis,2.0,,Scientific research and development
document methods used and write technical reports containing information collected.,0.12638271814048,"Other professional, scientific and technical activities","Other professional, scientific and technical activities",Publishing activities,Architectural and engineering activities; technical testing and analysis,2.0,,"Other professional, scientific and technical activities"
document patients' medical histories and assessment findings.,0.0041693267840158,Residential care activities,Human health activities,Human health activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.0,,Human health activities
"document patients' treatment plans, interventions, outcomes, or plan revisions.",0.0042996182460163,"Insurance, reinsurance and pension funding, except compulsory social security",Residential care activities,Human health activities,Human health activities,2.0,,Human health activities
document procedures for hardware and software installation and use.,0.0342666545061302,"Manufacture of computer, electronic and optical products",Repair and installation of machinery and equipment,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
"document robotic application development, maintenance, or changes.",0.0054722414040207,Publishing activities,Information service activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
document robotics test procedures and results.,0.0040390353220153,Manufacture of paper and paper products,Printing and reproduction of recorded media,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,2.0,,Architectural and engineering activities; technical testing and analysis
document route of specimens from collection to laboratory analysis and diagnosis.,0.0074266133340282,"Waste collection, treatment and disposal activities; materials recovery",Veterinary activities,Scientific research and development,Scientific research and development,2.0,,Scientific research and development
document technical functions and specifications for new or proposed content management systems.,0.0806504149783064,Publishing activities,Information service activities,Publishing activities,Architectural and engineering activities; technical testing and analysis,2.0,,Publishing activities
"document test results, using cameras, spreadsheets, documents, or other tools.",0.0300973277221143,"Other professional, scientific and technical activities",Printing and reproduction of recorded media,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities",2.0,,"Other professional, scientific and technical activities"
"document the performance, interpretation, or outcomes of all procedures performed.",0.0207163424580787,Legal and accounting activities,"Other professional, scientific and technical activities",Total - all NACE activities,Total - all NACE activities,2.0,,Total - all NACE activities
"document, design, code, or test geographic information systems (gis) models, internet mapping solutions, or other applications.",0.0026058292400099,"Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,Information service activities,Information service activities,2.0,,Information service activities
"draft detail and assembly drawings of design components, circuitry and printed circuit boards, using computer-assisted equipment or standard drafting techniques and devices.",0.0027361207020103,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,2.0,,Manufacture of electrical equipment
draft speeches for company executives and arrange interviews and other forms of contact for them.,0.0095112767260361,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",2.0,,Activities of head offices; management consultancy activities
"draw and print charts, graphs, illustrations, and other artwork, using computer.",0.0024755377780094,Printing and reproduction of recorded media,"Creative, arts and entertainment activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",2.0,,"Computer programming, consultancy and related activities"
draw conclusions or make predictions based on data summaries or statistical analyses.,0.169509192062644,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,Advertising and market research,2.0,,Scientific research and development
"draw cutting lines on material following patterns, templates, sketches, or blueprints, using chalk, pencils, paint, or other methods.",0.0036481609360138,Manufacture of paper and paper products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Architectural and engineering activities; technical testing and analysis,2.0,,Manufacture of paper and paper products
"draw rough and detailed scale plans for foundations, buildings, and structures, based on preliminary concepts, sketches, engineering calculations, specification sheets, and other data.",0.0029967036260113,Construction of buildings,Construction of buildings,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,2.0,,Construction of buildings
